自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
现实的季节性商店库存-没有更多的无限库存 (这个mod会使购物变得更为有趣。主要规则)
露西娜替换阿比盖尔 (用自定义的露西娜形象代替阿比盖尔。标准服)
哈维诊所扩大了规模。 (本模组为哈维诊所添加了新的饮料。共有十种)
八方旅人服饰衣柜 (让你的农场主能够cosplay《八方旅人)
彩虹雨 (将雨的颜色变为柔和的彩虹。兼容v1.6注)
这是蟹 (修改了寄居蟹和蘑菇怪的外观，更方便辨认注)
活动菜单 (你可以按L打开菜单，并选择菜单上的行为执)
新增游乐园风格家具 (新增几种游乐园风格的家具，你可以坐在几乎)
更好的小屋 (该模组为小屋添加了更多的功能。功能; 拜)
星空 (该模组添加了两幅致敬梵高的画作，你可以从)
宇宙的零食 (该模组添加了一些新的食品和饮料。这些配方)
腊肠树 (目前种植果树是赚不了很多钱的，该模组改变)
去饱和复古家具 (复古家具是一套漂亮的家具，然而，它有点亮)
巧克力壁纸和地板纹理 (该模组增加了15张壁纸和地板，可用于内容)
迷你农场 (一个非常小的农场，农场建筑可能都摆不全，)
奇怪的npc -索菲亚 (索菲亚是皮埃尔和卡洛琳最小的女儿，所以她)
冒险家工会风格地砖 (你是否曾经发现自己在欣赏冒险家公会的外观)
更多垃圾 (添加50个新垃圾到游戏中注意！！ 此mo)
可视化 (用可视化数据覆盖世界，如蜜蜂/朱尼莫/稻)
水果幽灵 (添加来自吃豆人的幽灵，它们会时不时产生水)
山地农场 (此mod新增一个山地农场注意！！ 此mo)
可爱的稻草人 (原版星露谷物语稻草人的可爱版本注意！！ )
蝴蝶元素蝴蝶结 (7个以蝴蝶为主题的蝴蝶结。包括橡尺蛾、大)
耕作水平影响收成 (简单地说，你的耕作水平会影响你从某些作物)
摇摆机 (玩家可以制作一个摇摆机。捕捉各种类型的鱼)
巫师农场 (此mod新增一个巫师农场注意！！ 此mo)
渡渡鸟 (此mod将渡渡鸟加入星露谷注意！！ 此m)
可制作的蘑菇箱 (此mod添加了可制作的蘑菇箱当与德米特里)
驯服灰尘精灵 (添加来自矿山的灰尘精灵作为鸡舍的农场动物)
亚洲动物-阿默斯特雉鸡 (亚洲动物包括以下动物：阿默斯特雉鸡（住在)
粉鸡和紫鸡 (此mod添加了粉红的鸡，有粉红的蛋，可以)
草莓牛 (为《星露谷物语》添加了独立的粉红草莓牛，)
季节性蘑菇木 (季节性蘑菇日志的CP版本注意！！ 此mo)
复古家具重新着色 (此mod将复古家具重新着色。注意！！ 此)
尖刺避雷针 (现在避雷针不再是圆的了是尖的。注意！！ )
种子大修 (在混合种子和混合花种子中添加更多作物，使)
厨房工作台套装 (一套厨房站菜单，用于更好的制作，现在增加)
虚空风格 - 可制作物 (虚空风格的所有可制作物的重新纹理。注意事)
假墙 (这个模组添加了假墙，你可以放在你的房子里)
定制咖啡 (您希望咖啡/浓缩咖啡的持续时间更长更快吗)
新角色-验光师保罗 (鹈鹕镇有一张新面孔！介绍：验光师保罗！保)
公告电视 (您在山谷中的朋友会通过广播让您了解当今的)
新增武器-回旋镖 (为游戏添加新的武器类别（回旋镖）。这个模)
年轻的帕姆 (现在帕姆变得年轻，喜欢的快试试吧。注意事)
更多夜间活动 (更多夜间活动是一个框架，用于使用内容包添)
农场洞穴矿车 (为农场洞穴添加一个功能齐全的矿车。注意事)
瘦小的动物 (农场动物不会再挡住你的路了！在你穿过农场)
可爱的小伙伴 (更改小饰品同伴的外观。注意事项:注意：此)
食物中毒系统 (食用未煮熟的食物时引起的食物中毒的可配置)
浣熊宠物 (将浣熊添加为宠物！有 2 种颜色，不能取)
新邮件-梳妆台 (在你开始新游戏的那天，通过邮件获得一个梳)
花草地农场 (一个牧场农场地图，有大量用装饰性的花、可)
鹈鹕镇的喷泉 (给鹈鹕镇增加一个可建造的喷泉。当然，水可)
简单威士忌 (将威士忌添加到星露谷中。将小麦和煤炭放入)
日光温室 (用卡罗琳的日光浴房间启发的定制地图取代原)
帅气的猫 (给所有猫戴上酷炫的太阳镜。注意！！ 此m)
更多的小径 (添加了更多的小径新路径的配方可以在罗宾商)
可种植的蔓越莓 (制作蔓越莓水稻作物！可让蔓越莓像芋头根和)
小海滩农场 (添加口袋大小的海滩农场作为自定义农场，适)
原来的史莱姆小屋 (一个简单的mod，使Slime Hutc)
Baby Pets (添加了宠物的婴儿版本下载该模组前请先下载)
皮埃尔在第1年出售第2年种子 (这个mod让皮埃尔在第一年销售大蒜种子、)
混合种子汤 (添加混合种子汤的配方，混合种子现在售价 )
家畜看护犬 (把谷仓里的猪变成狗从罗宾那里拿到AT剪刀)
梅多兰兹矿车 (在草地农场添加矿车。增加了两辆矿车。在地)
鸡舍新动物-老鼠 (鸡舍的新动物：老鼠！如果你善良，他们甚至)
虚空猫 (将普通的黑猫（在1.6更新中）变成虚空猫)
苔藓覆盖的树重新着色 (调整被苔藓覆盖的树木的颜色，使它们更加明)
十个头饰 (在ja模式中设计了10种头饰注意！！ 此)
植物全部 (这个mod允许批量种子种植/施肥，只需单)
黄油搅拌器（全版本兼容） (单一的制作黄油的工艺机器附带5件手工制品)
可爱的厨房岛屿和额外设施 (可爱的厨房需要一个可爱的岛屿！包括两种尺)
不在是你 (这个mod添加了最可爱和渴望的鱼从动物交)
神器现场挖掘机（全版本兼容） (你曾经沮丧的人造物点(又名蠕虫)太隐形吗)
优美的等离子电视框架 (等离子电视机的形象看起来就像一幅画。非常)
粉红猫替换品 (这个模组用粉红色的猫代替了灰色的猫！看起)
多样化奶牛皮肤 (27 种不同的牛品种，有成年牛和小牛版本)
可爱的史莱姆 (对史莱姆的外观进行了重制注意事项:注意：)
祝尼魔稻草人 (将稻草人的外观替换为可爱的祝尼魔注意事项)
幸运四叶草 (添加了幸运四叶草到游戏中，可在春天种植，)
粉红独角兽 (骑上粉红独角兽，让你感觉像个公主注意事项)
恐龙套装 (添加了一款恐龙套装到游戏中，衣服可用缝纫)
恐龙声音 (为农场动物小恐龙增加了喷火霸王龙的咆哮声)
无限的玩家社交标签 (该模组添加了无限的玩家社交标签注意事项:)
狐狸替换宠物 (该模组狐狸替换宠物 厌倦了猫猫狗狗？来试)
山谷重构 (对山谷的大部分背景进行了重构，且不影响n)
帽子老鼠莱西 (这个模组将辛德萨普森林远处角落的帽子老鼠)
简单的方尖碑 (一个内容补丁模组，用于更改方尖碑的外观以)
迷你方尖碑 (方尖碑将被小型化以此提高能见度，并且可以)
Fippsie 的替代灯柱 (您是否也对默认的灯柱感到厌倦？该模组允许)
虚空的怪异奇观 - 光标 (该模组带来了一件小东西，但它的影响却很深)
樱花界面 Redux (该模组以樱花为灵感的界面重新着色！将一些)
更好的蝴蝶笼 (该模组可让您指定在小屋位置生成的蝴蝶数量)
万圣节情怀 (该模组秋季或所有季节的山谷完整万圣节设计)
樱花氛围的酒窖 (对家里面的酒窖进行美化，不仅对酒窖进行粉)
简单武器 (该模组将大部分武器的颜色及模型进行了调整)
无矿井退出对话 (该模组移除了使用梯子从矿井返回时的确认对)
深色红木地板 (我真的很喜欢带有红色底色的深色木地板，所)
谢恩 (谢恩的肖像和角色精灵改头换面。)
新的笔记本电脑 (用于替代纹理的农场计算机的舒适笔记本电脑)
更简洁的页面 (经过编辑以使其更简洁的界面。)
完美不消耗体力 (这个MOD为《星露谷物语》的钓鱼系统添加)
可生长木材 (这个MOD为《星露谷物语》新增了木材作物)
沙漠商人交易星之果茶 (这个MOD为《星露谷物语》的沙漠商人新增)
来自谢恩的信 (这个MOD为《星露谷物语》中的谢恩角色新)
收获种子 (这个MOD为《星露谷物语》添加了可设定的)
增大的小屋 (这个MOD为《星露谷物语》提供了三种扩展)
待处理的秘密纸条 (这个MOD为《星露谷物语》中的秘密纸条和)
花店家具 (这个MOD为《星露谷物语》添加了200多)
宝可梦主题家具 (这个MOD为《星露谷物语》添加了一系列宝)
毛绒野牛 (这个MOD为《星露谷物语》新增了可饲养的)
额外发型 (这个MOD为《星露谷物语》新增42款发型)
椰子树幼苗 (这个MOD为《星露谷物语》新增了可种植的)
更多可领养动物 (这个MOD为《星露谷物语》新增了超过30)
首领生物 (这个MOD为《星露谷物语》添加了7种具有)
大捕捞 (这个MOD为《星露谷物语》新增了32种造)
下坡村- 扩展自定义 NPC 地图 (这个模组为《星露谷物语》添加了一个充满怀)
温室扩展模组 (这个模组为《星露谷物语》的温室系统带来革)
某些 NPC 会打鼾 (这个模组为《星露谷物语》中部分NPC添加)
星露工厂 (这个模组为《星露谷物语》带来了革命性的自)
传说鱼饵 (这个模组为《星露谷物语》的传奇鱼类系统带)
更好的宝石甜莓 (这个模组将《星露谷物语》中的宝石甜莓重新)
推动与拉动 (这个模组为《星露谷物语》添加了更符合物理)
新城市 (这个模组为《星露谷物语》新增了"祖祖城")
巨型鸡舍和谷仓 (这个MOD为《星露谷物语》的畜牧系统带来)
早鸟得食 (这个MOD为《星露谷物语》的养殖系统增添)
户外露营家具 (这个MOD为《星露谷物语》带来了11款精)
小龙牧场 (这个模组为《星露谷物语》带来了奇幻的驯龙)
兔耳和羊角 (这个模组为《星露谷物语》带来了两款超可爱)
兰斯角色重制 (这个模组为《星露谷物语扩展》中的角色 兰)
更多颜色的羊 (这个模组为《星露谷物语》的畜牧业带来了全)
咖啡家具 (这个模组为游戏精心打造了一套完整的咖啡文)
塞巴斯蒂安 (该模组在您解锁战斗精通中的饰品后，会向战)
活力男性模型 (这个模组添加了新的男性人物模型，替换原版)
可爱的小熊厨房 (这个模组添加了可爱小熊主题厨房，让你在温)
物品纹理 (这是一个物品纹理包，用新的风格的图标替换)
温馨冬日装饰 (温馨的节日装饰，为你的家增添光彩。这个模)
添加奇幻物种耳朵 (这个模组为游戏中添加了9对让人联想到不同)
法师增强 ( 此模组的作用：- 修改魔法塔，为法师提)
肥料等级提升 (这个模组提供一个将劣质肥料转化为优质肥料)
更精美的技能书 (这个模组将游戏中的技能书的模型重新绘制，)
哈利波特风格家具 (使用这个模组玩家就能在家具目录中添加了可)
传统乌克兰食物 (这个模组引入了一位大厨，他每周五都会到达)
移除马厩后墙 (这个模组将移除马厩的后墙，允许玩家通过，)
星露谷物语中的扎布卡商店 (这个模组替换了《星露谷物语》中Joja超)
稻田 (现在你可以向罗宾委托建造一个新的“建筑”)
制作工具 (这个模组为玩家添加一个可从克林处购买的铁)
洛离的上衣与裙子2 ()
洛离的上衣4 ()
猪模组 (获得完全基于现实生活的猪，同时还能购买基)
元素精灵的魔法花朵 (一组全新的作物拓展，来自拉贝尔大陆的魔法)
建造式温馨乡村厨房 (一个模块化、可建造的温馨乡村厨房，包含 )
远方的呼唤（来自父母的电话） (这个mod增加了24个来自父母的随机来电)
动画舒适围巾 (为时尚感增添一条舒适的围巾。非常适合在冬)
元素力量 (传说中提到了双耳罐，这是一种神秘的神器，)
更多黏液蛋和牧场 (一个mod，增强了在星露谷粘液牧场！其中)
塞巴斯蒂安走了 (当你给塞巴斯蒂安一束花时，他犹豫了……因)
热烈欢迎 (在一个陌生的小镇开始新生活可能会让人望而)
粉红奶牛 (把你的白奶牛变成粉红色，所有的牛奶都变成)
可制作磁环 (厌倦了为了给你的农民提供一个吸引觅食物品)
慢生活-专家模式 (过了一段时间，这个游戏不再是一样的，带着)
龙猫方尖碑 (这个mod是每个季节的龙猫的经线方尖碑的)
神奇的作物 (这个mod增加了7种新的神奇作物！它还增)
更好的咖啡 (厌倦了在星露谷啜饮淡咖啡？跟那些几乎不存)
定制梳妆台 (可以存储一切，如武器，饰品，处理，家具等)
刘易斯的新卡车 (路易斯花了镇上的一些钱买了一辆全新的卡车)
粉色蘑菇树 (一个简单的mod，把蘑菇树从红色变成粉红)
简单的树叶 (该模组是对游戏中树叶的更新，它增加了新的)
万圣节新食谱 (万圣节快乐!为您的厨房增加了6个食谱！注)
更大的沙漠农场 (沙漠农场很难管理，一直是夏天，几乎不下雨)
万圣节帽子老鼠 (帽子鼠在秋季周末出售各种恐怖和主题服装的)
重制矿场奖励 (该模组将原版的矿洞宝箱奖励换成更多样化和)
自动操作 (一个简单的mod，这意味着箱子、石箱、侏)
武士刀军械库 (该模组模组添加了许多类似武士刀的武器，为)
卵提取器 (在威利的商店里，你可以找到两台机器出售，)
超级户外灯 (在罗宾的商店里，你可以找到制作自己基本灯)
树创建器 - 克隆器 (在皮埃尔的商店里，你可以买到一种非常有用)
加强了介绍任务 (为完成介绍任务提供适度(或实质性)的金钱)
玫瑰梦想作物 (欢迎来到玫瑰梦想作物。这个mod允许你生)
可配置的怪物属性 (一种高度可配置的方式来改变怪物的生命值、)
公鸡1.6 (公鸡会挖出虫子的肉和诱饵。这个mod的目)
事件测试仪 (在游戏中自动运行事件的方式。现在用快进和)
有组织的大棚 (这个模型取代了大棚子，在这里你可以把桶放)
微调-战士版 (通过改变你的武器，戒指，鞋子和更多的外观)
《绯闻女孩》 (一个小mod，增加了一个新的常规电视节目)
晾衣绳变体 (在家具目录中增加了9种晾衣绳颜色变体-原)
三丽鸥洒水器 (该模组添加了三丽鸥肉桂卷主题洒水器。注意)
动态地板-续 (这个mod适用于你从罗宾那里购买的地板样)
玛妮的金蛋 (在玩家完成几个大目标后，为玛妮的商店增加)
魔法冬星树 (你今年表现好吗?添加到游戏魔法冬星树树苗)
美人鱼花吊坠 (给美人鱼吊坠一个木制的，盛开的外观。有5)
高纯度矿石节点树 (该模组新增5种果树、5种物品、3种加工机)
萌浪兔毛绒玩具 (该模组增加了8个萌浪兔毛绒玩具作为家具。)
额外作物-芥末 (在游戏中加入芥菜籽;这是一种冬季作物，可)
牛奶面包 (该模组添加了一个新的食谱-牛奶面包。它的)
带商店的农舍 (该模组将农舍替换为一个较小的地图，其中包)
战斗物品可获得性 (主要mod为冒险家公会增加了七个项目:在)
秘密的森林漫步 (这个mod在秘密森林中添加了一个独特的可)
鸡舍和谷仓的翻新 (修改所有鸡舍和谷仓内部:清理杂乱，修复磨)
牛奶糖配方 (现在，添加一个简单的配方来制作牛奶糖。注)
新森林 (该模组添加了一个新的森林地图，虽然是一个)
强化羊 (强化羊现在能产奶(也能产羊毛!)，这羊奶)
夏日绿衫军衬衫 (这个mod将角色多个默认衬衫替换为定制的)
带有木耳纹理的工具 (该模组将游戏中的工具都附带有木耳纹理，为)
标志的大杂烩 (一个集合为箱子和材料的纹理。它包括：57)
额外的收获机会 (简单地说，你可以收获更多的庄稼，无论你的)
地毯的跑步者 (该模组增加了长走廊的地毯，它可以延伸进房)
柔术猫 (在这个模组下，为您可爱的家添两只小猫咪吧)
即时世界事件 (这个mod的目的是使某些世界事件发生得比)
重温室 (这个模组将给玩家的温室一个新的外观，并给)
新的家具包 (这个mod增加了15个新的家具项目到游戏)
萨福克羊 (萨福克羊和基础的羊很像。它们住在谷仓里，)
魔法作物 (该模组添加了哈利波特魔法世界中的魔法植物)
钱包中奖券 (你是否收集了一打中奖彩票，然后把它们随机)
快速交换 (交换你最后使用的武器。默认键为“Q”。选)
克林特车间检修 (一个简单的mod，增加了各种矿石，酒吧，)
等价的筒仓 (该模组使筒仓可以容纳9个大箱子，占用相同)
走廊修复 (使壁纸覆盖整个墙壁在“走廊”/房间分隔，)
礼盒纹理绘制 (该模组使用可选纹理对箱子和石头箱子进行礼)
山姆的衣服 (用这个mod变换山姆在游戏中的外观，简化)
瓜拉那作物 (这个mod添加了一个种子，你可以在皮埃尔)
更多的蘑菇 (那些讨厌的蘑菇盒只是没有给你浣熊朋友需要)
选择性进食 (一个简单的生活质量模式，使饮食更容易和自)
不可见光源 (一个简单的mod，添加两个不可见的光源()
女巫小屋 (7个全新的纹理玩家小屋，每个都有2个升级)
大圆鸟 (在游戏中添加了8个独特的鸟类毛绒玩具!它)
更加粉彩柔和的祝尼魔目录 (该CP模组将原版祝尼魔目录中的商品纹理替)
海莉8颗心活动——更新后的照片 (将海莉的8颗心事件中的“照片”替换为与当)
海滩农场 (这是一个温馨的小农场，可以欣赏到美丽的海)
驴 (本模组在玛妮的商店中添加了驴作为农场动物)
家禽饲料重构 (该模组让鸡和笼养动物更加独特，因为它们如)
改变马蹄声音 (一种解决马蹄声替换的方法。不再干扰正常的)
更好的炸弹 (这个模组通过提供几个可配置的选项来改变炸)
卡洛琳的软更新 (该模组重新设计卡洛琳的肖像(原始和冬季))
饼干小狗- NPC (一个可爱的新npc小狗享受!了解她和她的)
玻璃中的植物 (该模组为玩家添加了半透明的植物装饰。内容)
闹鬼森林农场 (鹈鹕镇的村民说你继承的农场闹鬼……特点：)
蓝色虚空和金色鸭子 (该模组添加了虚空，蓝色和金色版本的鸭子，)
蓝色虚空和金色奶牛 (该模组添加了蓝色虚空和金色奶牛的变种，并)
蓝色虚空和金色山羊 (该模组添加了蓝色、虚空和金色山羊以及它们)
自定义NPC加布里埃尔 (该模组将一款名为“超级杀手”(Ultra)
新作物 (该模组为您的农场添加了三种新作物。作物：)
大规模的农场 (这个mod是为合作风格量身定制的，但是，)
横幅换色 (这个mod是重新上色的节日横幅，以适应与)
宠物兔 (添加一只宠物兔子。获得它的方式与获得猫或)
真正的虹鳟 (一个愚蠢的小mod，修改了虹鳟鱼的外观（)
卡丁车奖励 (这个mod增加了Junimo卡丁车的奖励)
五条马 (新增五条悟外观的马注意！！ 此mod与其)
帕特里的工艺品 (该模组改变一些工艺品的形象，更像乡村，老)
浣熊提醒 (游戏中有一个可配置的选项，当浣熊被喂食9)
沼泽的女巫叶子 (用全新的植物取代了原版的树，草和灌木!可)
新的鹅 (为游戏增加了一种鹅。注意！！ 此mod与)
更大的酒馆 (为酒馆增加一块新区域注意！！ 此mod与)
鱼缸气泡开关 (你可以为你的鱼缸增加气泡，只需要在设置中)
额外马厩 (你可以拥有额外的马厩，拥有多匹马注意！！)
小胖鸡 (这个模组将使你的农场变得更加柔软可爱，因)
公交庇护所 (可怜的潘姆!她日复一日地在外面等着我想坐)
更好的肥料配方 (编辑豪华保留土壤和超速生长的制作配方，在)
皮埃尔卖混合种子 (正如标题所暗示的，皮埃尔现在卖混合种子!)
硬核游戏 (2点以后可以熬夜，但会有相应的惩罚如果时)
湿地种植 (使作物能够从周围的水源获得水分，从而消除)
山谷诅咒 (把诅咒加到祝福的雕像上……为什么不呢?为)
新品种羊 (该模组添加了新的羊的种类，这些羊生活在你)
卡丁车关卡选择 (这个mod可以在卡丁车可选择后，他们已经)
奶昔奶牛 (新增六种奶昔奶牛，它们会产小牛奶用于制作)
秘密森林额外区域 (在秘密森林里增加一个小洞穴注意！！ 此m)
显示农场 (选择存档时将显示存档使用的农场种类，太棒)
更多的鱼 (为游戏新增一系列鱼以及钓鱼战利品注意！！)
可爱的礼盒 (新礼盒更可爱注意！！ 此mod与其他相同)
宇宙卷发 (包括 6 种不同的发型，喜欢的快试试吧。)
月亮门方尖碑 (把方尖碑变成了石头月亮门，喜欢的快试试 )
影子食谱 (九种以原版成分为特色的新食谱。这些食谱的)
奶奶的食谱盒 (伊芙琳奶奶有一个特殊的天赋，她想和你分享)
口袋妖怪浆果灌木丛 (将口袋妖怪中的浆果作为可种植作物添加到星)
快速控制输入 (模组允许您加快游戏对玩家输入的响应。这个)
乌龟换成口袋妖怪 (此mod将绿壳乌龟替换为杰尼龟，将紫壳乌)
蘑菇树种子 (此mod将蘑菇树的种子加入制作列表注意！)
自定义电视频道 (此mod允许以内容包的形式在游戏中添加电)
冬季蘑菇树 (调整使蘑菇树在冬天不再成为树桩。注意事项)
更好的喷壶 (浇水只能浇灌一块瓷砖。升级后，您可以使用)
鸵鸟重新着色 (对鸵鸟的重新着色，喜欢的快试试吧。注意！)
可制作的巫师书 (玩家可以制作一本巫师书。注意！！ 此mo)
千与千寻-煤灰精灵与无脸男 (将尘埃精灵变成“千与千寻”的煤灰精灵并将)
巫师家具重绘 (用深蓝色重新粉刷巫师的家具，并用深色木饰)
威利的海藻和藻类 (威利现在出售海藻和两种藻类。注意！！ 此)
更好的茶叶售价 (让绿茶卖得更贵让绿茶卖250而不是100)
利欧露宠物 (你现在可以从玛妮那购买利欧露作为宠物，不)
新增巨型兔子 (将巨型兔子添加到 Marnies 商店就)
莉亚新面貌 (莉亚的全新面貌，1.6。新的肖像和角色精)
琥珀工艺品 (添加由树液、种子和文物制成的琥珀工艺品。)
丰收奖金 (你把你的巨型庄稼放在身边，因为你喜欢它们)
吉卜力稻草人 (吉卜力稻草人取代了稀有的稻草人注意事项:)
小图腾雕像取代方尖碑 (这些季节性颜色的小图腾雕像将取代您农场的)
假地板 (这个模组增加了两块新的地毯在罗宾商店中可)
温柔的雪 (冬季雪景效果的柔和重新纹理。注意事项:注)
钻石剑 (为游戏添加剑注意事项:注意：此MOD可能)
哈维的新胡子 (为哈维的肖像画提供了他应得的值得旋转的小)
工业奶酪机 (将奶酪机的质地更改为工业模型的版本。注意)
赌场硬木 (只是您可以从赌场购买的硬木栅栏限制的解决)
稍微改善城镇 (最小的改进，不会减损原本的外观。在城镇增)
较短的棚屋 (降低棚屋和大棚的视觉高度这个模组重新纹理)
ESC 键可点击对话框 (这个模组本质上只是让玩家使用桌面上的 E)
更大的棚屋建筑 (8个新的大棚子，具有不同的内饰。注意事项)
自定义花色 (每朵花选择 1 种颜色以便于存放，或每朵)
熟悉 (防止与NPC在同一区域时友谊衰减。注意事)
姜岛的重新着色 (姜岛的泥土重新着色注意事项:注意：此MO)
快速议程 (只需按一下键，即可快速轻松地查看即将举行)
能源保护 (防止使用工具耗尽，没有足够耐力就无法使用)
宠物肖像 (在游戏中为每只宠物添加新的肖像！为每张宠)
动画蝴蝶在笼中 (将动画蝴蝶添加到蝴蝶笼中注意事项:注意：)
收养一只寄居蟹 (现在你可以从玛妮那里领养一只可爱的小寄居)
更多升级通知 (这个模块改变了升级通知，这样升级的通知会)
遗失的图书馆书籍封面 (给遗失的图书馆书籍随机选择封面。改变图书)
干净的天气 (这个模组，可以在碎片天气移除花瓣/树叶，)
修改收养价格 (这是一个很小的mod，适合所有想在农场里)
整洁的库房和谷仓 (在不改变大小的情况下装饰和整理合作社和谷)
模块化马厩 (一个完全模块化的马厩。随时更换马厩，以满)
Flixbus 巴士 (让巴士看起来像一辆Flixbus巴士注意)
想象中的野花 (使季节性、可收获的花朵在草地上随机生长注)
矮小的草 (把草的画面变得比较短，使杂草看起来矮小一)
随意调节游戏帧数 (您可以随时调整游戏内帧速率，但副作用是动)
雨天添加配乐 (为雨天添加配乐注意！！ 此mod与其他相)
夏日不再有烦人噪音 (此内容包从夏季氛围中消除了嗡嗡作响的昆虫)
没有马蹄声 (消除了马蹄声注意！！ 此mod与其他相同)
独特的马 (用新的动画和有趣的个性替换默认的马。注意)
改进的商店 (改进了不同商店的股票期权。注意！！ 此m)
拒绝礼物 (导致NPC扔不喜欢或讨厌的物品。注意！！)
紫色短裤武器 (将刘哥的紫色短裤当成武器注意！！ 此mo)
塔拉的庄稼 (有少量新的作物，包括花，蔬菜和一些食谱春)
桥 (在Cindersap森林中添加三座桥在C)
升级 (香草风格的mod，增加了鹈鹕镇周围的一些)
雅吉桑的克罗布斯卖羊皮卷（全版本兼容） (当与克罗布斯达到4颗心时，他将每天获得1)
蝙蝠侠取代塞巴斯蒂安 (将塞巴斯蒂安的肖像和精灵变成蝙蝠侠，并添)
毒蝇伞树 (使用毒蝇伞树取代游戏里的蘑菇树外观。注意)
寻找野生鸡蛋 (在这里你可以寻找野生鸡蛋！这是一个野生的)
小火焰猴取代狗狗 (使用来自宝可梦游戏中的小火焰猴精灵取代了)
每日事件限制 (限制了每日会触发的剧情事件，以增强游戏的)
粉红樱桃树 (温室内的樱桃树变成可爱的粉红色注意事项:)
诺奇的水晶之路 (重新着色水晶路径以匹配其构成的物品。这个)
塞巴斯蒂安调整 (将游戏中的塞巴斯蒂安肖像进行调整，对角色)
棕色木材工艺品 (将小桶、织布机等工艺品生产器进行重新着色)
矮人卷轴价格提升 (我一直认为矮人卷轴的售价太低了，所以我适)
可骑乘的狼 (让你拥有一只可骑乘的狼。通过玩家动力客户)
简单清洁的下水道 (厌倦了所有的杂物阻碍，或者想象星露谷会有)
标题npc (该模组装备后 开始游戏的标题都会随机刷出)
浮动花园花盆 (安装该模组之后可以将花园花盆放在水上，不)
任务物品重制 (该模组将一些任务中获得的没有用的道具了调)
白色冬季 (该模组通过去除其绿松石色使冬天看起来更自)
生日友谊 (安装该模组后会在日历上显示村民生日需要最)
游戏内容改正 (该模组将番茄、茄子和南瓜重新归类为水果，)
棒虫祁 - 棒虫重新着色，便于耕种。 (这个模组非常简单，它会将棒虫的颜色以静态)
蛋黄酱马 (使用内容补丁程序将您的马变成蛋黄酱马 我)
新星的游戏名称 (当你打开星露谷时，你会看到你爷爷农场的风)
蛋黄酱机器 (添加 4 种蛋黄酱机器，每种普通蛋黄酱口)
萨瓦埃尔替换塞巴斯蒂安 (用萨瓦埃尔·加马恩取代塞巴斯蒂安。所有引)
乌鸦诅咒模组 (在户外被乌鸦紧随其后，每隔几秒钟就会出人)
星露谷电视新闻 (这个MOD为《星露谷物语》的电视新增了一)
罗宾出售纤维 (这个MOD为《星露谷物语》的木匠商店新增)
远距离交互 (这个MOD为《星露谷物语》提供了超远距离)
来自山姆的信 (这个MOD为《星露谷物语》中的山姆角色新)
手动整理箱子 (这个MOD为《星露谷物语》提供了高级储物)
阿比盖尔-季节性动漫肖像 (这个MOD为《星露谷物语》中的角色阿比盖)
处理站 - 农场建筑 (这个MOD为《星露谷物语》添加了一个高效)
可移动邮箱 (这个MOD将《星露谷物语》中农场入口的固)
连接花盆 (这个MOD为《星露谷物语》中的花盆提供了)
游乐场模组 (这个MOD为《星露谷物语》中的鹈鹕镇游乐)
加速工厂 (这个MOD为《星露谷物语》添加了一座可升)
幻想生态箱 (这个模组新增15款奇幻主题的玻璃盆景，包)
种植作物获得增益 (这个MOD为《星露谷物语》设计了独特的作)
泡菜缸 (这个MOD为《星露谷物语》添加了泡菜缸，)
罗德尼-东斯卡普新NPC (这个MOD为《星露谷物语》的东斯卡普地区)
皮埃尔出售树肥 (这个MOD为《星露谷物语》添加了树肥到皮)
各种漂亮树木 (这个MOD为《星露谷物语》新增了5种高颜)
自定义掉落率 (这个MOD为《星露谷物语》提供了深度的资)
辛迪妮- 自定义 NPC (这个模组为你的星露谷物语游戏添加了1位新)
瑞普莉-阳莓村拓展npc (瑞普莉是《星露谷物语》模组“阳莓村”新增)
《星露谷物语》的宝箱 (这个MOD为《星露谷物语》添加了多种战利)
艾利欧特UI（航海主题） (这个MOD为《星露谷物语》的界面系统全面)
游戏UI更改 (这个MOD全面修改了《星露谷物语》的UI)
简单的星蓝谷树木着色 (这个MOD为《星露谷物语扩展》（SVE）)
仙女巴士 (这个模组为公交车添加了五种具有仙女主题的)
合理的自动抚摸机 (这个MOD为《星露谷物语》添加了更合理的)
拖拉机车库（季节性） (这个MOD为《星露谷物语》添加了一个具有)
鹈鹕镇食品卡车 (这个MOD为《星露谷物语》新增了"艾尔姆)
森林主题家具 (这个MOD为《星露谷物语》添加了一系列以)
堆叠增益持续时间 (这个MOD允许《星露谷物语》中的增益效果)
火鸡手工艺品纹理重制 (这个模组对《手工商品增强》模组添加了来自)
钓鱼完美助手 (这个模组为《星露谷物语》钓鱼爱好者提供了)
无碰撞 (这个模组移除了《星露谷物语》中玩家与宠物)
无限喷壶 (这个模组为《星露谷物语》添加了无限喷壶功)
绒毛山羊 (这个模组为《星露谷物语》新增了绒毛山羊，)
更多种子信息 (这个模组为《星露谷物语》带来了革命性的种)
可爱芽苗头饰 (这个模组为《星露谷物语》的农夫角色设计了)
畜棚独角兽 (这个模组为《星露谷物语》新增了两种可在玛)
粉紫色上衣 (这个模组为《星露谷物语》新增了一系列粉色)
花舞节O型腿 (这个模组专门修复了《星露谷物语》中花舞节)
